Restaurant ID,Restaurant Name,Locality,Is NCR,Average Cost for two,Log_Cost,Aggregate rating,Cred_Rating,Predicted_Rating,Residual,rank_overall,rank_within_ncr_group
3400025,Jahanpanah,Agra Cantt,False,850,6.7464121285733745,3.9,3.7577382579381347,3.8639005689171184,-0.10616231097898376,4630.0,404.0
3400341,Rangrezz Restaurant,Agra Cantt,False,700,6.55250788703459,3.5,3.4392710895858953,3.823266204890575,-0.38399511530467967,6005.0,597.0
3400005,Time2Eat - Mama Chicken,Agra Cantt,False,500,6.2166061010848646,3.6,3.514772942309843,3.752874988385302,-0.23810204607545904,5568.0,484.0
3400021,Chokho Jeeman Marwari Jain Bhojanalya,Civil Lines,False,400,5.993961427306569,4.0,3.766268608458143,3.7062178103314185,0.06005079812672465,2117.0,293.0
3400017,Pinch Of Spice,Civil Lines,False,1000,6.90875477931522,4.2,4.015984649337644,3.8979209199673495,0.11806372937029419,1665.0,248.0
3400325,MoMo Cafe,"Courtyard by Marriott Agra, Tajganj",False,2000,7.601402334583733,4.0,3.661835433513909,4.043071395684233,-0.38123596217032407,5996.0,593.0
3400059,Peshawri - ITC Mughal,"ITC Mughal, Tajganj",False,2500,7.824445930877619,4.3,4.044574344781909,4.089812171510854,-0.04523782672894505,3652.0,359.0
3400060,Taj Bano - ITC Mughal,"ITC Mughal, Tajganj",False,2500,7.824445930877619,4.0,3.6468058972256383,4.089812171510854,-0.44300627428521544,6136.0,635.0
3400348,G Thal,Khandari,False,800,6.68586094706836,3.6,3.487153062502847,3.851211528533131,-0.36405846603028413,5955.0,577.0
3400072,Dawat-e-Nawab - Radisson Blu,"Radisson Blu, Tajganj",False,3600,8.188966863648876,3.8,3.5685529552663944,4.166200785601896,-0.597647830335502,6344.0,688.0
3400019,Dasaprakash Restaurant,Rakabganj,False,550,6.311734809152915,4.1,3.8841913573547497,3.7728100579966535,0.11138129935809626,1706.0,252.0
3400033,The Charcoal Chimney,Tajganj,False,1100,7.00397413672268,3.4,3.379937233195861,3.91787498595664,-0.5379377527607794,6274.0,673.0
3400350,Bon Barbecue,Tajganj,False,1500,7.313886831633462,3.8,3.5925710448142216,3.982819956533434,-0.3902489117192123,6022.0,604.0
3400016,Pind Balluchi,Tajganj,False,900,6.803505257608338,3.7,3.623716655135301,3.875864943549723,-0.25214828841442216,5626.0,498.0
3400105,Pizza Hut,Tajganj,False,700,6.55250788703459,4.4,4.119194157105506,3.823266204890575,0.29592795221493073,856.0,145.0
3400326,Tea'se Me - Rooftop Tea Boutique,Tajganj,False,1000,6.90875477931522,4.2,4.006569910466546,3.8979209199673495,0.10864899049919696,1724.0,258.0
3400392,Thaaliwala,Tajganj,False,700,6.55250788703459,4.1,3.930933321429988,3.823266204890575,0.10766711653941297,1729.0,259.0
111895,650 - The Global Kitchen,Ambavadi,False,900,6.803505257608338,4.2,4.174501858216007,3.875864943549723,0.2986369146662837,844.0,143.0
110502,Patang - The Revolving Restaurant,Ashram Road,False,1800,7.496097345175956,3.7,3.687472529875592,4.021003795514946,-0.33353126563935387,5890.0,561.0
18396250,Huber & Holly,Bodakdev,False,300,5.707110264748875,4.5,4.288392972745517,3.6461055896378083,0.6422873831077087,175.0,35.0
113702,@Mango,Bodakdev,False,800,6.68586094706836,4.1,4.055149793093285,3.851211528533131,0.20393826456015418,1234.0,200.0
113433,Fozzie's Pizzaiolo,Bodakdev,False,900,6.803505257608338,4.3,4.2404006804491114,3.875864943549723,0.36453573689938823,636.0,103.0
18438909,La Pino'z Pizza,Bodakdev,False,500,6.2166061010848646,4.4,4.082793399693256,3.752874988385302,0.3299184113079541,738.0,122.0
